assembly	protein	gene_product	database	contig	coordinates	nearest_mobile_element_bp	mobile_adjacent_5kb	mobile_adjacent_10kb	context_call_10kb	adjacent_mobile_features
GCF_001720945.1	WP_002287458.1	ABC-F type ribosomal protection protein Msr(C)	CARD	NZ_CP012430.1	2646643-2648121	23780	0	0	no mobile element within 10 kb	
GCF_001720945.1	WP_002289795.1	aminoglycoside 6'-N-acetyltransferase	CARD	NZ_CP012430.1	3045991-3046539	14268	0	0	no mobile element within 10 kb	
GCF_001720945.1	WP_002291207.1	multidrug efflux MFS transporter EfmA	CARD	NZ_CP012430.1	1882618-1883904	82	1	1	MOBILE-ADJACENT	ISL3-like element IS1251 family transposase
GCF_001720945.1	WP_002296290.1	multidrug efflux ABC transporter subunit EfrA	CARD	NZ_CP012430.1	329904-331634	2521	1	1	MOBILE-ADJACENT	ISL3-like element ISEfa11 family transposase
GCF_001720945.1	WP_002305818.1	vancomycin resistance histidine kinase VanS-A	CARD	NZ_CP012431.1	22747-23901	98	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase; ISL3-like element IS1251 family transposase; recombinase family protein
GCF_001720945.1	WP_002345002.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(T)	CARD	NZ_CP012430.1	2164483-2165217	221	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase; MobV family relaxase
GCF_001720945.1	WP_002345004.1	tetracycline efflux MFS transporter Tet(L)	CARD	NZ_CP012430.1	2169628-2171001	564	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase; MobV family relaxase
GCF_001720945.1	WP_002345005.1	tetracycline resistance ribosomal protection protein Tet(M)	CARD;CARD	NZ_CP012430.1	2171099-2173018	377	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase; MobV family relaxase
GCF_001720945.1	WP_010730188.1	quaternary ammonium compound efflux SMR transporter QacH	CARD	NZ_CP012430.1	1811386-1811709	449	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase; IS6-like element IS1216 family transposase; Tn3 family transposase
GCF_001720945.1	WP_002286379.1	LacI family DNA-binding transcriptional regulator	VFDB	NZ_CP012430.1	2030436-2031455	79978	0	0	no mobile element within 10 kb	
GCF_001720945.1	WP_002289238.1	collagen-binding MSCRAMM adhesin Acm	VFDB	NZ_CP012430.1	3032924-3035089	1201	1	1	MOBILE-ADJACENT	IS256-like element ISEfm2 family transposase
GCF_001720945.1	WP_002289382.1	collagen-binding MSCRAMM adhesin Scm	VFDB	NZ_CP012430.1	2506013-2507995	31810	0	0	no mobile element within 10 kb	
GCF_001720945.1	WP_002289402.1	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	VFDB	NZ_CP012430.1	334425-335018	3721	1	1	MOBILE-ADJACENT	IS30 family transposase
GCF_001720945.1	WP_002296629.1	LPXTG-anchored fibrinogen/nidogen-binding adhesin SgrA	VFDB	NZ_CP012430.1	1313813-1314787	4187	1	1	MOBILE-ADJACENT	IS110 family transposase
GCF_001720945.1	WP_002297368.1	fibrinogen-binding MSCRAMM adhesin Fss3	VFDB	NZ_CP012430.1	2601268-2604495	417	1	1	MOBILE-ADJACENT	pLS20_p028 family conjugation system transmembrane protein; site-specific integrase
GCF_002007625.1	WP_000067268.1	aminoglycoside nucleotidyltransferase ANT(9)-Ia	CARD	NZ_CP019208.1	2994959-2995741	538	1	1	MOBILE-ADJACENT	site-specific integrase; tyrosine-type recombinase/integrase
GCF_002007625.1	WP_000402347.1	D-Ala-D-Ala dipeptidase VanX-A	CARD;CARD	NZ_CP019210.1	28515-29123	95	1	1	MOBILE-ADJACENT	IS256-like element IS1542 family transposase; IS6-like element IS1216 family transposase; recombinase family protein
GCF_002007625.1	WP_000516404.1	glycopeptide resistance protein VanZ-A	CARD	NZ_CP019210.1	25896-26381	1359	1	1	MOBILE-ADJACENT	IS21-like element helper ATPase IstB; IS6-like element IS1216 family transposase; recombinase family protein
GCF_002007625.1	WP_001038796.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	CARD	NZ_CP019210.1	1556-2293	1963	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase
GCF_002007625.1	WP_001059542.1	D-lactate dehydrogenase VanH-A	CARD	NZ_CP019210.1	30153-31121	1733	1	1	MOBILE-ADJACENT	IS256-like element IS1542 family transposase; IS6-like element IS1216 family transposase; recombinase family protein
GCF_002007625.1	WP_001072201.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	CARD;CARD	NZ_CP019208.1	2995867-2996598	1446	1	1	MOBILE-ADJACENT	site-specific integrase; tyrosine-type recombinase/integrase
GCF_002007625.1	WP_001079845.1	D-alanine--(R)-lactate ligase VanA	CARD;CARD	NZ_CP019210.1	29129-30160	709	1	1	MOBILE-ADJACENT	IS256-like element IS1542 family transposase; IS6-like element IS1216 family transposase; recombinase family protein
GCF_002007625.1	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	CARD	NZ_CP019210.1	12-806	3450	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase
GCF_002007625.1	WP_001280781.1	vancomycin resistance response regulator transcription factor VanR-A	CARD	NZ_CP019210.1	32468-33163	152	1	1	MOBILE-ADJACENT	IS256-like element IS1542 family transposase; IS6-like element IS1216 family transposase; recombinase family protein
GCF_002007625.1	WP_001812592.1	D-Ala-D-Ala carboxypeptidase VanY-A	CARD	NZ_CP019210.1	26534-27445	295	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase; recombinase family protein
GCF_002007625.1	WP_002289795.1	aminoglycoside 6'-N-acetyltransferase	CARD	NZ_CP019208.1	2891197-2891745	31514	0	0	no mobile element within 10 kb	
GCF_002007625.1	WP_002296290.1	multidrug efflux ABC transporter subunit EfrA	CARD	NZ_CP019208.1	3001037-3002767	6616	0	1	MOBILE-ADJACENT	
GCF_002007625.1	WP_002302681.1	ABC-F type ribosomal protection protein Msr(C)	CARD	NZ_CP019208.1	2437160-2438638	13042	0	0	no mobile element within 10 kb	
GCF_002007625.1	WP_002305818.1	vancomycin resistance histidine kinase VanS-A	CARD	NZ_CP019210.1	31336-32490	825	1	1	MOBILE-ADJACENT	IS256-like element IS1542 family transposase; IS6-like element IS1216 family transposase; recombinase family protein
GCF_002007625.1	WP_002323378.1	multidrug efflux MFS transporter EfmA	CARD	NZ_CP019208.1	1721728-1723014	21627	0	0	no mobile element within 10 kb	
GCF_002007625.1	WP_002289238.1	collagen-binding MSCRAMM adhesin Acm	VFDB	NZ_CP019208.1	2878130-2880295	18447	0	0	no mobile element within 10 kb	
GCF_002007625.1	WP_002289402.1	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	VFDB	NZ_CP019208.1	3005556-3006149	11135	0	0	no mobile element within 10 kb	
GCF_002007625.1	WP_002294628.1	LacI family DNA-binding transcriptional regulator	VFDB	NZ_CP019208.1	1861083-1862102	50079	0	0	no mobile element within 10 kb	
GCF_002007625.1	WP_002296629.1	LPXTG-anchored fibrinogen/nidogen-binding adhesin SgrA	VFDB	NZ_CP019208.1	745090-746064	4177	1	1	MOBILE-ADJACENT	IS110 family RNA-guided transposase
GCF_002007625.1	WP_010729285.1	fibrinogen-binding MSCRAMM adhesin Fss3	VFDB	NZ_CP019208.1	2395191-2398418	5248	0	1	MOBILE-ADJACENT	
GCF_002007625.1	WP_059355941.1	Rib/alpha-like domain-containing protein	VFDB	NZ_CP019208.1	2363178-2369105	222	1	1	MOBILE-ADJACENT	IS256-like element IS16 family transposase; IS30 family transposase
GCF_006494835.1	WP_002358140.1	multidrug efflux MFS transporter EmeA	CARD	NZ_CP039296.1	1048282-1049436	70687	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002360302.1	trimethoprim-sensitive dihydrofolate reductase	CARD	NZ_CP039296.1	1530011-1530505	37033	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002368685.1	D-Ala-D-Ala dipeptidase VanX	CARD	NZ_CP039296.1	2212353-2212961	5780	0	1	MOBILE-ADJACENT	
GCF_006494835.1	WP_002368691.1	D-alanine--(R)-lactate ligase VanB	CARD	NZ_CP039296.1	2212967-2213995	6071	0	1	MOBILE-ADJACENT	
GCF_006494835.1	WP_002368693.1	D-lactate dehydrogenase VanH	CARD	NZ_CP039296.1	2213988-2214959	5107	0	1	MOBILE-ADJACENT	
GCF_006494835.1	WP_002368694.1	glycopeptide resistance accessory protein VanW-B	CARD	NZ_CP039296.1	2214956-2215783	4283	1	1	MOBILE-ADJACENT	relaxase/mobilization nuclease domain-containing protein
GCF_006494835.1	WP_002368695.1	D-Ala-D-Ala carboxypeptidase VanY-B	CARD	NZ_CP039296.1	2215801-2216607	3459	1	1	MOBILE-ADJACENT	relaxase/mobilization nuclease domain-containing protein
GCF_006494835.1	WP_002368696.1	vancomycin resistance histidine kinase VanS-B	CARD	NZ_CP039296.1	2216783-2218126	1940	1	1	MOBILE-ADJACENT	plasmid mobilization protein; relaxase/mobilization nuclease domain-containing protein
GCF_006494835.1	WP_002368697.1	vancomycin resistance response regulator transcription factor VanR-B	CARD	NZ_CP039296.1	2218126-2218788	1278	1	1	MOBILE-ADJACENT	plasmid mobilization protein; relaxase/mobilization nuclease domain-containing protein
GCF_006494835.1	WP_002387187.1	ABC-F type ribosomal protection protein Lsa(A)	CARD	NZ_CP039296.1	2631448-2632944	68668	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002387312.1	multidrug efflux ABC transporter subunit EfrA	CARD	NZ_CP039296.1	2798736-2800463	28229	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002387383.1	serine/threonine protein kinase IreK	CARD	NZ_CP039296.1	2995191-2997347	18030	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002355633.1	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	VFDB	NZ_CP039296.1	730234-730827	154688	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002356954.1	Mn/Fe ABC transporter substrate-binding lipoprotein EfaA	VFDB	NZ_CP039296.1	1996626-1997552	34144	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002357513.1	BMC domain-containing protein	VFDB	NZ_CP039296.1	1580184-1580474	19594	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002358181.1	lanthipeptide cytolysin subunit CylL-S	VFDB	NZ_CP039296.1	484857-485048	1669	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase; IS6 family transposase
GCF_006494835.1	WP_002358485.1	lanthipeptide cytolysin subunit CylL-L	VFDB	NZ_CP039296.1	484617-484823	1429	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase; IS6 family transposase
GCF_006494835.1	WP_002359680.1	phosphatidate cytidylyltransferase	VFDB	NZ_CP039296.1	2419418-2420218	24792	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002359685.1	UDP-N-acetylmuramate dehydrogenase	VFDB	NZ_CP039296.1	2410356-2412809	32201	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002362225.1	undecaprenyl pyrophosphate synthase	VFDB	NZ_CP039296.1	2420215-2421030	23980	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002362618.1	CDP-glycerol glycerophosphotransferase family protein	VFDB	NZ_CP039296.1	2417776-2418945	26065	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002362627.1	ABC transporter permease	VFDB	NZ_CP039296.1	2406561-2407373	37637	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002367100.1	casular polysaccharide biosynthesis protein CpsF	VFDB	NZ_CP039296.1	2412836-2413687	31323	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002369215.1	fibrinogen-binding MSCRAMM adhesin Fss3	VFDB	NZ_CP039296.1	1838710-1841937	6450	0	1	MOBILE-ADJACENT	
GCF_006494835.1	WP_002369249.1	quorum-sensing system protein FsrB	VFDB	NZ_CP039296.1	1766065-1766793	26232	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002369251.1	gelatinase GelE	VFDB	NZ_CP039296.1	1762958-1764490	28535	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002369252.1	serine proteinase SprE	VFDB	NZ_CP039296.1	1762055-1762909	30116	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002370235.1	LPXTG-anchored aggregation substance	VFDB;VFDB;VFDB;VFDB	NZ_CP039296.1	450215-454120	3767	1	1	MOBILE-ADJACENT	tyrosine-type recombinase/integrase
GCF_006494835.1	WP_002370472.1	glycosyltransferase family A protein	VFDB	NZ_CP039296.1	2416291-2417757	27253	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002370929.1	type 2 lanthipeptide synthetase LanM family protein	VFDB	NZ_CP039296.1	485109-488090	910	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase; IS30-like element ISEnfa364 family transposase; IS6 family transposase
GCF_006494835.1	WP_002370931.1	cytolysin regulator CylR2	VFDB	NZ_CP039296.1	484013-484213	825	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase; IS6 family transposase
GCF_006494835.1	WP_002376666.1	UDP-galactopyranose mutase	VFDB	NZ_CP039296.1	2408742-2409881	35129	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002379309.1	endocarditis and biofilm-associated pilus minor subunit EbpB	VFDB	NZ_CP039296.1	1060694-1062124	57999	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002379310.1	endocarditis and biofilm-associated pilus major subunit EbpC	VFDB	NZ_CP039296.1	1062121-1064004	56119	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002379311.1	Ebp pilus assembly class C sortase	VFDB	NZ_CP039296.1	1064098-1064952	55171	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002386893.1	GHKL domain-containing protein, partial	VFDB	NZ_CP039296.1	1764725-1766068	26957	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002387027.1	LacI family transcriptional regulator BopD	VFDB	NZ_CP039296.1	915921-916931	203192	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002387127.1	ATP-binding cassette domain-containing protein	VFDB	NZ_CP039296.1	2407373-2408758	36252	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002387128.1	lipoprotein CpsH	VFDB	NZ_CP039296.1	2409940-2410338	34672	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002387129.1	glycosyltransferase family 2 protein	VFDB	NZ_CP039296.1	2413711-2416221	28789	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_002399773.1	hyaluronate lyase HylB	VFDB	NZ_CP039296.1	779874-782888	204328	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_010714416.1	collagen-binding MSCRAMM adhesin Ace	VFDB	NZ_CP039296.1	1068034-1070058	50065	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_010774166.1	cysteine peptidase family C39 domain-containing protein	VFDB	NZ_CP039296.1	488102-488914	86	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase; IS30-like element ISEnfa364 family transposase; IS6 family transposase
GCF_006494835.1	WP_010774232.1	fibrinogen-binding MSCRAMM adhesin Fss3	VFDB	NZ_CP039296.1	2266768-2269992	5715	0	1	MOBILE-ADJACENT	
GCF_006494835.1	WP_011109430.1	LPXTG-anchored aggregation substance	VFDB;VFDB;VFDB	NZ_CP039296.1	146451-150368	3011	1	1	MOBILE-ADJACENT	
GCF_006494835.1	WP_011109506.1	response regulator transcription factor FsrA	VFDB	NZ_CP039296.1	1766882-1767613	25412	0	0	no mobile element within 10 kb	
