accession	n_GH_families	GH_families	all_families	n_cazymes_consensus	n_single_tool_dropped	n_rows_fallback
GCF_000014525.1	16	GH1;GH13;GH136;GH170;GH2;GH20;GH25;GH29;GH3;GH31;GH32;GH36;GH4;GH65;GH73;GH88	AA4;AA7;CBM32;CBM48;CBM50;CE1;CE4;CE9;GH1;GH13;GH136;GH170;GH2;GH20;GH25;GH29;GH3;GH31;GH32;GH36;GH4;GH65;GH73;GH88;GT113;GT119;GT2;GT28;GT32;GT35;GT4;GT5;GT51;GT8;GT83;PL12	70	84	0
GCF_000015385.1	7	GH1;GH13;GH2;GH25;GH31;GH65;GH73	CBM32;CBM34;CE9;GH1;GH13;GH2;GH25;GH31;GH65;GH73;GT111;GT119;GT14;GT2;GT26;GT28;GT32;GT4;GT51;GT8	32	59	0
GCF_000016825.1	10	GH13;GH2;GH23;GH31;GH36;GH42;GH53;GH65;GH73;GH8	CBM34;CBM50;GH13;GH2;GH23;GH31;GH36;GH42;GH53;GH65;GH73;GH8;GT111;GT113;GT119;GT125;GT2;GT28;GT4;GT51;GT8	45	61	0
GCF_000019245.4	19	GH1;GH109;GH125;GH13;GH136;GH170;GH20;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH4;GH65;GH73;GH88	AA7;CBM34;CBM48;CBM50;CE1;CE4;CE9;GH1;GH109;GH125;GH13;GH136;GH170;GH20;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH4;GH65;GH73;GH88;GT113;GT119;GT122;GT2;GT28;GT32;GT35;GT4;GT5;GT51;GT8;GT83;PL12;PL8	83	87	0
GCF_000020425.1	26	GH1;GH109;GH112;GH125;GH129;GH13;GH151;GH172;GH18;GH184;GH2;GH20;GH23;GH25;GH29;GH3;GH32;GH33;GH36;GH38;GH42;GH43;GH5;GH51;GH77;GH95	CBM48;CBM50;CE2;CE20;CE9;GH1;GH109;GH112;GH125;GH129;GH13;GH151;GH172;GH18;GH184;GH2;GH20;GH23;GH25;GH29;GH3;GH32;GH33;GH36;GH38;GH42;GH43;GH5;GH51;GH77;GH95;GT111;GT119;GT122;GT14;GT2;GT28;GT32;GT35;GT4;GT51;GT8;PL27	79	50	0
GCF_000021425.1	16	GH1;GH127;GH13;GH2;GH23;GH25;GH3;GH30;GH32;GH36;GH42;GH43;GH5;GH51;GH77;GH94	CBM10;CBM23;CBM48;CBM91;CE2;CE20;CE4;CE5;GH1;GH127;GH13;GH2;GH23;GH25;GH3;GH30;GH32;GH36;GH42;GH43;GH5;GH51;GH77;GH94;GT1;GT111;GT119;GT127;GT2;GT28;GT32;GT35;GT39;GT4;GT51	77	50	0
GCF_000022705.1	16	GH1;GH127;GH13;GH2;GH23;GH25;GH3;GH30;GH32;GH36;GH42;GH43;GH5;GH51;GH77;GH94	CBM10;CBM23;CBM48;CBM91;CE2;CE20;CE4;CE5;GH1;GH127;GH13;GH2;GH23;GH25;GH3;GH30;GH32;GH36;GH42;GH43;GH5;GH51;GH77;GH94;GT1;GT111;GT119;GT127;GT2;GT28;GT32;GT35;GT39;GT4;GT51	79	50	0
GCF_000022965.1	16	GH1;GH127;GH13;GH2;GH23;GH25;GH3;GH30;GH32;GH36;GH42;GH43;GH5;GH51;GH77;GH94	CBM10;CBM23;CBM48;CBM91;CE2;CE20;CE4;CE5;GH1;GH127;GH13;GH2;GH23;GH25;GH3;GH30;GH32;GH36;GH42;GH43;GH5;GH51;GH77;GH94;GT1;GT111;GT119;GT127;GT2;GT28;GT32;GT35;GT39;GT4;GT51	79	50	0
GCF_000023085.1	21	GH1;GH109;GH125;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH4;GH42;GH65;GH73;GH78;GH85;GH92	AA10;CBM32;CBM34;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH125;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH4;GH42;GH65;GH73;GH78;GH85;GH92;GT119;GT125;GT2;GT26;GT28;GT35;GT4;GT5;GT51	97	146	0
GCF_000025045.1	24	GH1;GH109;GH113;GH115;GH125;GH13;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH32;GH36;GH38;GH43;GH65;GH67;GH73;GH77;GH8;GH85;GH92	AA10;CBM32;CBM34;CBM48;CBM5;CBM50;CBM91;CE20;CE4;CE7;CE9;GH1;GH109;GH113;GH115;GH125;GH13;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH32;GH36;GH38;GH43;GH65;GH67;GH73;GH77;GH8;GH85;GH92;GT11;GT119;GT2;GT28;GT35;GT4;GT5;GT51;GT92	99	71	0
GCF_000025245.2	16	GH1;GH127;GH13;GH2;GH23;GH25;GH3;GH30;GH32;GH36;GH42;GH43;GH5;GH51;GH77;GH94	CBM10;CBM23;CBM48;CBM91;CE2;CE20;CE4;CE5;GH1;GH127;GH13;GH2;GH23;GH25;GH3;GH30;GH32;GH36;GH42;GH43;GH5;GH51;GH77;GH94;GT1;GT111;GT119;GT127;GT2;GT28;GT32;GT35;GT39;GT4;GT51	79	51	0
GCF_000026485.1	18	GH1;GH109;GH125;GH13;GH170;GH20;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH4;GH65;GH73;GH88	AA4;AA7;CBM34;CBM48;CBM50;CE1;CE4;CE9;GH1;GH109;GH125;GH13;GH170;GH20;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH4;GH65;GH73;GH88;GT119;GT2;GT28;GT32;GT35;GT4;GT5;GT51;GT8;GT83;PL12;PL8	81	90	0
GCF_000026505.1	21	GH1;GH109;GH125;GH13;GH170;GH2;GH23;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH39;GH4;GH59;GH65;GH73;GH78	AA1;CBM32;CBM34;CBM48;CBM50;CBM67;CE1;CE4;CE9;GH1;GH109;GH125;GH13;GH170;GH2;GH23;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH39;GH4;GH59;GH65;GH73;GH78;GT111;GT113;GT119;GT125;GT2;GT28;GT35;GT4;GT5;GT51;GT8;GT83	83	82	0
GCF_000026525.1	24	GH1;GH109;GH115;GH126;GH13;GH136;GH170;GH2;GH25;GH29;GH3;GH30;GH31;GH32;GH35;GH36;GH38;GH4;GH43;GH59;GH65;GH73;GH78;GH88	AA4;CBM32;CBM34;CBM48;CBM50;CBM67;CE4;CE9;GH1;GH109;GH115;GH126;GH13;GH136;GH170;GH2;GH25;GH29;GH3;GH30;GH31;GH32;GH35;GH36;GH38;GH4;GH43;GH59;GH65;GH73;GH78;GH88;GT113;GT119;GT122;GT2;GT28;GT32;GT35;GT4;GT5;GT51;GT8;GT83;PL12;PL8	101	78	0
GCF_000056065.1	6	GH13;GH18;GH2;GH25;GH31;GH73	AA4;CBM32;CBM50;CE9;GH13;GH18;GH2;GH25;GH31;GH73;GT1;GT111;GT113;GT119;GT122;GT14;GT2;GT26;GT28;GT32;GT4;GT51;GT8	36	55	0
GCF_000092325.1	32	GH109;GH112;GH120;GH125;GH127;GH129;GH13;GH146;GH172;GH184;GH2;GH20;GH23;GH27;GH29;GH3;GH30;GH31;GH32;GH35;GH36;GH38;GH42;GH43;GH5;GH50;GH51;GH53;GH77;GH8;GH85;GH95	CBM13;CBM48;CBM61;CBM91;CE20;CE9;GH109;GH112;GH120;GH125;GH127;GH129;GH13;GH146;GH172;GH184;GH2;GH20;GH23;GH27;GH29;GH3;GH30;GH31;GH32;GH35;GH36;GH38;GH42;GH43;GH5;GH50;GH51;GH53;GH77;GH8;GH85;GH95;GT111;GT119;GT2;GT28;GT35;GT4;GT51;GT8	86	49	0
GCF_000092765.1	16	GH1;GH127;GH13;GH2;GH23;GH25;GH3;GH30;GH32;GH36;GH42;GH43;GH5;GH51;GH77;GH94	CBM10;CBM23;CBM48;CBM91;CE2;CE20;CE4;CE5;GH1;GH127;GH13;GH2;GH23;GH25;GH3;GH30;GH32;GH36;GH42;GH43;GH5;GH51;GH77;GH94;GT1;GT111;GT119;GT127;GT2;GT28;GT32;GT35;GT39;GT4;GT51	79	51	0
GCF_000143435.1	10	GH126;GH13;GH2;GH23;GH25;GH3;GH32;GH36;GH65;GH73	CBM34;CBM48;CBM50;CE4;CE9;GH126;GH13;GH2;GH23;GH25;GH3;GH32;GH36;GH65;GH73;GT111;GT113;GT119;GT125;GT14;GT2;GT26;GT28;GT32;GT35;GT4;GT5;GT51	65	78	0
GCF_000143745.1	20	GH1;GH109;GH125;GH126;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH65;GH73;GH78;GH92	AA10;AA4;CBM34;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH125;GH126;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH65;GH73;GH78;GH92;GT111;GT113;GT119;GT125;GT2;GT26;GT28;GT32;GT35;GT4;GT5;GT51	107	150	0
GCF_000148815.2	21	GH1;GH109;GH125;GH126;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH65;GH73;GH78;GH85;GH92	AA10;AA4;CBM32;CBM34;CBM48;CBM50;CE1;CE2;CE4;CE9;GH1;GH109;GH125;GH126;GH13;GH170;GH188;GH2;GH20;GH23;GH25;GH31;GH32;GH36;GH38;GH42;GH65;GH73;GH78;GH85;GH92;GT111;GT119;GT125;GT127;GT2;GT26;GT28;GT35;GT4;GT5;GT51	109	144	0
GCF_000155515.2	21	GH1;GH109;GH125;GH13;GH136;GH170;GH2;GH20;GH23;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH4;GH65;GH73;GH88	AA4;AA7;CBM34;CBM48;CBM50;CE1;CE4;CE9;GH1;GH109;GH125;GH13;GH136;GH170;GH2;GH20;GH23;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH4;GH65;GH73;GH88;GT119;GT122;GT2;GT28;GT32;GT35;GT4;GT5;GT51;GT8;GT83;PL12;PL8	89	85	0
GCF_000158015.1	21	GH1;GH109;GH112;GH125;GH129;GH13;GH176;GH184;GH2;GH20;GH23;GH25;GH3;GH32;GH33;GH36;GH38;GH42;GH5;GH77;GH95	CBM25;CBM41;CBM48;CE4;CE9;GH1;GH109;GH112;GH125;GH129;GH13;GH176;GH184;GH2;GH20;GH23;GH25;GH3;GH32;GH33;GH36;GH38;GH42;GH5;GH77;GH95;GT119;GT2;GT28;GT35;GT4;GT51	67	47	0
GCF_000159215.1	8	GH13;GH2;GH3;GH32;GH36;GH65;GH70;GH73	CBM34;CBM50;GH13;GH2;GH3;GH32;GH36;GH65;GH70;GH73;GT111;GT113;GT119;GT125;GT2;GT28;GT4;GT51	32	67	0
GCF_000159395.1	7	GH126;GH13;GH2;GH32;GH36;GH65;GH73	CBM34;CBM48;CBM50;CE4;CE9;GH126;GH13;GH2;GH32;GH36;GH65;GH73;GT111;GT113;GT119;GT122;GT125;GT14;GT2;GT26;GT28;GT32;GT35;GT4;GT5;GT51;GT92	60	79	0
GCF_000159455.2	13	GH120;GH13;GH2;GH23;GH25;GH31;GH36;GH42;GH65;GH68;GH70;GH73;GH8	CBM50;GH120;GH13;GH2;GH23;GH25;GH31;GH36;GH42;GH65;GH68;GH70;GH73;GH8;GT111;GT113;GT119;GT125;GT2;GT28;GT4;GT51;GT8	46	67	0
GCF_000159495.1	17	GH1;GH125;GH13;GH170;GH20;GH23;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH4;GH65;GH73	AA7;CBM34;CBM48;CBM50;CE1;CE4;CE9;GH1;GH125;GH13;GH170;GH20;GH23;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH4;GH65;GH73;GT1;GT119;GT122;GT125;GT2;GT28;GT32;GT35;GT4;GT5;GT51;GT8;GT83;PL12	82	93	0
GCF_000159715.1	15	GH1;GH13;GH140;GH170;GH2;GH25;GH31;GH32;GH36;GH4;GH42;GH65;GH73;GH78;GH8	CBM32;CBM34;CBM41;CBM48;CBM67;CE9;GH1;GH13;GH140;GH170;GH2;GH25;GH31;GH32;GH36;GH4;GH42;GH65;GH73;GH78;GH8;GT111;GT119;GT2;GT26;GT28;GT32;GT35;GT4;GT5;GT51;GT8	65	61	0
GCF_000160855.1	10	GH1;GH13;GH170;GH2;GH25;GH31;GH4;GH42;GH65;GH73	CBM32;CBM34;CE9;GH1;GH13;GH170;GH2;GH25;GH31;GH4;GH42;GH65;GH73;GT119;GT2;GT26;GT28;GT32;GT4;GT51;GT8	29	60	0
GCF_000162395.1	13	GH13;GH2;GH23;GH25;GH3;GH32;GH36;GH51;GH65;GH70;GH73;GH78;GH8	CBM50;GH13;GH2;GH23;GH25;GH3;GH32;GH36;GH51;GH65;GH70;GH73;GH78;GH8;GT111;GT113;GT119;GT125;GT2;GT28;GT4;GT51	39	70	0
GCF_000164965.1	24	GH1;GH101;GH110;GH112;GH123;GH129;GH13;GH136;GH184;GH2;GH20;GH23;GH25;GH29;GH3;GH33;GH36;GH42;GH43;GH51;GH77;GH84;GH89;GH95	CBM13;CBM32;CBM48;CBM50;CBM51;CE4;CE9;GH1;GH101;GH110;GH112;GH123;GH129;GH13;GH136;GH184;GH2;GH20;GH23;GH25;GH29;GH3;GH33;GH36;GH42;GH43;GH51;GH77;GH84;GH89;GH95;GT119;GT2;GT28;GT35;GT4;GT51	58	50	0
GCF_000165775.1	12	GH1;GH13;GH170;GH2;GH25;GH3;GH31;GH32;GH4;GH65;GH73;GH8	AA4;CBM32;CBM34;CBM48;CE9;GH1;GH13;GH170;GH2;GH25;GH3;GH31;GH32;GH4;GH65;GH73;GH8;GT1;GT111;GT119;GT125;GT2;GT26;GT28;GT32;GT35;GT4;GT5;GT51;GT8	49	69	0
GCF_000165905.1	24	GH1;GH101;GH110;GH112;GH123;GH129;GH13;GH136;GH184;GH2;GH20;GH23;GH25;GH29;GH3;GH33;GH36;GH42;GH43;GH51;GH77;GH84;GH89;GH95	CBM13;CBM32;CBM48;CBM50;CBM51;CE4;CE9;GH1;GH101;GH110;GH112;GH123;GH129;GH13;GH136;GH184;GH2;GH20;GH23;GH25;GH29;GH3;GH33;GH36;GH42;GH43;GH51;GH77;GH84;GH89;GH95;GT119;GT2;GT28;GT35;GT4;GT51	59	50	0
GCF_000166315.1	28	GH101;GH109;GH112;GH121;GH125;GH127;GH13;GH136;GH146;GH172;GH184;GH2;GH20;GH23;GH25;GH27;GH3;GH30;GH31;GH32;GH36;GH38;GH42;GH43;GH5;GH51;GH77;GH85	CBM13;CBM22;CBM32;CBM48;CBM50;CBM6;CBM91;CE8;CE9;GH101;GH109;GH112;GH121;GH125;GH127;GH13;GH136;GH146;GH172;GH184;GH2;GH20;GH23;GH25;GH27;GH3;GH30;GH31;GH32;GH36;GH38;GH42;GH43;GH5;GH51;GH77;GH85;GT119;GT2;GT28;GT35;GT4;GT51	81	49	0
GCF_000172535.2	16	GH1;GH127;GH13;GH2;GH23;GH25;GH3;GH30;GH32;GH36;GH42;GH43;GH5;GH51;GH77;GH94	CBM10;CBM23;CBM48;CBM91;CE2;CE20;CE4;CE5;GH1;GH127;GH13;GH2;GH23;GH25;GH3;GH30;GH32;GH36;GH42;GH43;GH5;GH51;GH77;GH94;GT1;GT111;GT119;GT127;GT2;GT28;GT32;GT35;GT39;GT4;GT51	79	51	0
GCF_000173255.5	19	GH1;GH109;GH125;GH13;GH170;GH2;GH25;GH29;GH3;GH30;GH32;GH35;GH36;GH38;GH4;GH59;GH65;GH73;GH78	AA4;CBM34;CBM48;CBM50;CBM67;CE1;CE4;CE9;GH1;GH109;GH125;GH13;GH170;GH2;GH25;GH29;GH3;GH30;GH32;GH35;GH36;GH38;GH4;GH59;GH65;GH73;GH78;GT101;GT111;GT119;GT127;GT14;GT2;GT28;GT35;GT4;GT5;GT51;GT8;GT83	80	85	0
GCF_000175055.1	11	GH1;GH13;GH170;GH25;GH3;GH31;GH32;GH36;GH65;GH73;GH8	CBM32;CBM34;CE9;GH1;GH13;GH170;GH25;GH3;GH31;GH32;GH36;GH65;GH73;GH8;GT119;GT2;GT26;GT28;GT32;GT4;GT51;GT8	44	59	0
GCF_000176995.2	11	GH1;GH13;GH170;GH25;GH3;GH31;GH32;GH36;GH65;GH73;GH8	CBM32;CBM34;CE9;GH1;GH13;GH170;GH25;GH3;GH31;GH32;GH36;GH65;GH73;GH8;GT1;GT11;GT113;GT119;GT125;GT2;GT26;GT28;GT32;GT4;GT51;GT8	52	63	0
GCF_000177035.2	13	GH1;GH13;GH170;GH23;GH25;GH3;GH31;GH32;GH36;GH65;GH68;GH73;GH8	CBM32;CBM34;CE9;GH1;GH13;GH170;GH23;GH25;GH3;GH31;GH32;GH36;GH65;GH68;GH73;GH8;GT1;GT11;GT113;GT119;GT125;GT2;GT26;GT28;GT32;GT4;GT51;GT8	59	62	0
GCF_000182835.1	12	GH1;GH13;GH2;GH25;GH3;GH31;GH32;GH36;GH4;GH65;GH70;GH73	AA4;CBM32;CBM34;CBM50;CE9;GH1;GH13;GH2;GH25;GH3;GH31;GH32;GH36;GH4;GH65;GH70;GH73;GT111;GT119;GT122;GT125;GT14;GT2;GT26;GT28;GT32;GT4;GT51;GT8	54	75	0
GCF_000182875.1	7	GH13;GH2;GH23;GH25;GH32;GH73;GH77	CBM50;CE1;CE4;CE9;GH13;GH2;GH23;GH25;GH32;GH73;GH77;GT1;GT119;GT125;GT2;GT28;GT32;GT35;GT4;GT51;GT8	42	59	0
GCF_000189515.1	10	GH1;GH13;GH170;GH2;GH25;GH31;GH32;GH4;GH65;GH73	CBM32;CBM34;CE9;GH1;GH13;GH170;GH2;GH25;GH31;GH32;GH4;GH65;GH73;GT111;GT119;GT127;GT2;GT26;GT28;GT32;GT4;GT51;GT8	42	63	0
GCF_000192165.1	13	GH1;GH13;GH2;GH25;GH3;GH31;GH32;GH4;GH65;GH68;GH70;GH73;GH8	AA4;CBM32;CBM34;CBM50;CE9;GH1;GH13;GH2;GH25;GH3;GH31;GH32;GH4;GH65;GH68;GH70;GH73;GH8;GT111;GT113;GT119;GT122;GT127;GT2;GT26;GT28;GT32;GT4;GT51;GT8	53	61	0
GCF_000192705.1	18	GH1;GH125;GH13;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH32;GH38;GH43;GH65;GH73;GH77;GH85;GH92	AA10;CBM32;CBM34;CBM48;CBM5;CBM50;CBM91;CE4;CE9;GH1;GH125;GH13;GH170;GH18;GH2;GH20;GH23;GH25;GH3;GH32;GH38;GH43;GH65;GH73;GH77;GH85;GH92;GT119;GT2;GT28;GT35;GT4;GT5;GT51;PL9	72	68	0
GCF_000194765.1	18	GH1;GH109;GH125;GH13;GH170;GH20;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH4;GH65;GH73;GH88	AA4;AA7;CBM34;CBM48;CBM50;CE1;CE4;CE9;GH1;GH109;GH125;GH13;GH170;GH20;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH4;GH65;GH73;GH88;GT119;GT2;GT28;GT32;GT35;GT4;GT5;GT51;GT8;GT83;PL12;PL8	80	90	0
GCF_000194785.1	18	GH1;GH109;GH125;GH13;GH170;GH20;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH4;GH65;GH73;GH88	AA4;AA7;CBM34;CBM48;CBM50;CE1;CE4;CE9;GH1;GH109;GH125;GH13;GH170;GH20;GH25;GH29;GH3;GH31;GH32;GH35;GH36;GH38;GH4;GH65;GH73;GH88;GT119;GT2;GT28;GT32;GT35;GT4;GT5;GT51;GT8;GT83;PL12;PL8	79	90	0
GCF_000196555.1	26	GH101;GH109;GH112;GH121;GH127;GH129;GH13;GH136;GH146;GH172;GH184;GH2;GH20;GH23;GH25;GH27;GH3;GH30;GH31;GH32;GH36;GH42;GH43;GH5;GH51;GH77	CBM13;CBM22;CBM32;CBM48;CBM6;CBM91;CE8;CE9;GH101;GH109;GH112;GH121;GH127;GH129;GH13;GH136;GH146;GH172;GH184;GH2;GH20;GH23;GH25;GH27;GH3;GH30;GH31;GH32;GH36;GH42;GH43;GH5;GH51;GH77;GT119;GT2;GT28;GT32;GT35;GT4;GT51	83	51	0
GCF_000196575.1	29	GH101;GH109;GH112;GH120;GH121;GH125;GH127;GH129;GH13;GH18;GH184;GH2;GH20;GH23;GH25;GH27;GH3;GH30;GH31;GH32;GH36;GH38;GH42;GH43;GH5;GH51;GH53;GH65;GH77	CBM13;CBM22;CBM32;CBM48;CBM6;CBM61;CBM91;CE8;CE9;GH101;GH109;GH112;GH120;GH121;GH125;GH127;GH129;GH13;GH18;GH184;GH2;GH20;GH23;GH25;GH27;GH3;GH30;GH31;GH32;GH36;GH38;GH42;GH43;GH5;GH51;GH53;GH65;GH77;GT119;GT125;GT2;GT28;GT35;GT4;GT51	83	48	0
